Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,66.000000,66.040001,64.250000,64.650002,50.983688,3350000
2015-06-30,64.930000,65.279999,64.389999,64.470001,50.841740,2521400
2015-07-02,64.410004,64.800003,63.840000,64.070000,51.064899,2010200
2015-07-03,63.570000,64.239998,63.430000,64.209999,51.725471,939900
2015-07-06,63.509998,64.449997,63.310001,63.930000,51.499908,3747400
2015-07-07,64.000000,64.269997,63.549999,64.269997,51.773804,2963000
2015-07-08,63.990002,64.120003,63.529999,63.619999,51.250179,4778700
2015-07-09,63.939999,64.190002,62.930000,63.080002,50.815178,5117700
2015-07-10,63.560001,63.770000,63.349998,63.580002,51.217964,1539700
2015-07-13,64.400002,64.489998,63.799999,63.910000,51.483791,1326400
2015-07-14,63.860001,63.950001,63.110001,63.790001,51.387123,1325500
2015-07-15,63.930000,64.300003,63.400002,64.120003,51.652962,1597800
2015-07-16,64.419998,65.190002,64.150002,64.930000,52.305477,1563300
2015-07-17,65.010002,65.010002,64.029999,64.370003,51.854351,1088800
2015-07-20,64.400002,64.559998,63.680000,63.720001,51.330742,1292800
2015-07-21,63.700001,63.849998,63.000000,63.209999,50.919907,1435900
2015-07-22,63.070000,63.369999,62.720001,63.020000,50.766838,1362200
2015-07-23,63.000000,63.119999,62.310001,62.630001,50.452675,2312400
2015-07-24,62.599998,62.930000,62.150002,62.310001,50.194885,2346000
2015-07-27,62.000000,62.009998,60.779999,61.070000,49.195988,2398000
2015-07-28,61.259998,61.730000,60.520000,61.419998,49.477928,2326700
2015-07-29,61.669998,63.490002,61.470001,63.360001,51.040733,2239300
2015-07-30,63.360001,63.919998,62.720001,63.840000,51.427399,2103000
2015-07-31,64.000000,64.500000,63.790001,64.190002,51.709351,2687100
2015-08-04,64.150002,64.150002,63.240002,63.520000,51.169628,1999400
2015-08-05,63.900002,64.139999,63.700001,63.810001,51.403244,2189300
2015-08-06,63.680000,63.799999,62.400002,62.630001,50.452675,2650300
2015-08-07,62.709999,62.910000,62.029999,62.490002,50.339893,1386500
2015-08-10,62.500000,63.250000,62.500000,63.000000,50.750736,1017200
2015-08-11,62.799999,62.849998,61.810001,62.299999,50.186836,1978500
2015-08-12,62.000000,62.080002,61.110001,61.820000,49.800163,1778000
2015-08-13,61.849998,61.959999,60.959999,61.099998,49.220146,1459300
2015-08-14,61.099998,61.560001,61.029999,61.490002,49.534325,1175800
2015-08-17,61.310001,61.340000,60.570000,61.180000,49.284603,1196200
2015-08-18,61.049999,61.160000,60.419998,60.619999,48.833477,1421800
2015-08-19,60.490002,60.500000,59.529999,59.880001,48.237358,1911100
2015-08-20,59.400002,59.400002,58.520000,58.580002,47.190121,1839700
2015-08-21,58.000000,58.560001,57.540001,57.540001,46.352333,2319900
2015-08-24,53.740002,57.160000,52.599998,55.880001,45.015091,4049600
2015-08-25,57.810001,58.060001,56.799999,56.919998,45.852879,2986900
2015-08-26,58.000000,58.590000,56.900002,58.500000,47.125679,3332900
2015-08-27,59.400002,60.360001,58.919998,59.980000,48.317924,2769700
2015-08-28,59.259998,60.349998,58.919998,59.599998,48.011803,2775400
2015-08-31,59.410000,60.360001,58.040001,60.220001,48.511250,3350500
2015-09-01,59.080002,59.419998,57.970001,58.240002,46.916237,2306300
2015-09-02,58.700001,59.180000,58.119999,58.400002,47.045120,2753300
2015-09-03,58.639999,59.540001,58.529999,59.049999,47.568745,2483300
2015-09-04,58.630001,58.869999,58.160000,58.480000,47.109573,2156200
2015-09-08,59.439999,59.930000,59.320000,59.500000,47.931244,2213700
2015-09-09,60.090000,60.180000,58.840000,58.919998,47.464008,2337400
2015-09-10,58.639999,59.060001,58.330002,58.689999,47.278728,2194500
2015-09-11,58.400002,58.599998,57.820000,58.119999,46.819569,1797000
2015-09-14,58.270000,58.430000,58.040001,58.200001,46.884014,1402200
2015-09-15,58.310001,58.570000,58.099998,58.270000,46.940395,2073300
2015-09-16,58.369999,59.500000,58.310001,59.439999,47.882915,2642200
2015-09-17,59.330002,59.730000,58.990002,59.150002,47.649303,1786800
2015-09-18,58.330002,58.480000,58.009998,58.099998,46.803455,10092200
2015-09-21,58.700001,59.160000,58.400002,59.139999,47.641239,2028900
2015-09-22,58.349998,58.500000,57.880001,58.130001,46.827614,1961500
2015-09-23,58.250000,58.369999,57.090000,57.509998,46.328167,1912000
2015-09-24,57.099998,57.660000,56.849998,57.240002,46.110668,2736100
2015-09-25,58.099998,58.310001,57.709999,57.750000,46.521500,4280000
2015-09-28,57.580002,57.759998,57.029999,57.279999,46.142883,2810400
2015-09-29,57.430000,58.009998,57.270000,58.009998,46.730949,2519700
2015-09-30,58.400002,58.840000,58.130001,58.830002,47.391518,3055100
2015-10-01,58.799999,59.110001,58.439999,59.080002,47.592911,2951700
2015-10-02,57.830002,57.869999,56.580002,57.220001,46.647243,2857600
2015-10-05,57.830002,58.580002,57.619999,58.380001,47.592911,2623000
2015-10-06,58.500000,59.490002,58.290001,59.400002,48.424438,2541700
2015-10-07,59.889999,60.750000,59.840000,60.290001,49.149990,2731400
2015-10-08,60.220001,60.689999,60.080002,60.630001,49.427162,2070300
2015-10-09,60.799999,60.970001,60.009998,60.279999,49.141838,2577400
2015-10-13,60.099998,60.480000,59.810001,60.299999,49.158142,2176000
2015-10-14,60.310001,60.560001,59.500000,59.709999,48.677162,1968100
2015-10-15,60.090000,60.299999,59.580002,59.770000,48.726070,1659000
2015-10-16,59.959999,60.450001,59.720001,60.200001,49.076614,1568900
2015-10-19,60.119999,60.669998,60.119999,60.380001,49.223354,1302500
2015-10-20,60.490002,61.139999,60.139999,60.759998,49.533142,1411200
2015-10-21,60.619999,60.619999,60.619999,60.619999,49.419014,0
2015-10-22,60.860001,61.900002,60.799999,61.660000,50.266853,2328900
2015-10-23,62.330002,62.419998,61.930000,62.049999,50.584782,2066200
